Date,Day,CAT/GMAT Prep,Task 1 (VARC),Task 2 (DILR),Task 3 (QA),Project Work,Task 4 (Skill),Certifications,Task 5 (Career),LinkedIn/Networking,Done ?
2025-06-01,Sunday,Weekly Revision + 1hr Verbal RC,Reading Comprehension ? Abstract,Bar Graphs,Percentages,Check data consistency in project,SQL Basics,Reflect & plan next week?s study,Apply on LinkedIn,Rest or casual learning video,
2025-06-02,Monday,Quant Practice + 1hr Reading Comprehension,Reading Comprehension ? Science,Line Graphs,Ratios & Proportions,Update dashboard visuals,Python Basics,Watch Data Analytics course module,Connect with a mentor,Engage with 2 LinkedIn posts,
2025-06-03,Tuesday,DI/LR Practice + Verbal mock test,Reading Comprehension ? Politics,Pie Charts,Averages,Build new KPI in dashboard,Power BI ? Dashboards,Practice SQL queries,Update portfolio,Send 1 connection request + comment,
2025-06-04,Wednesday,Mock Test (Full) + Analysis,Para Jumbles,Tables,"Time, Speed & Distance",Update documentation of dashboard,Google Data Analytics Module 1,Python for Data Science - Lists & Loops,Apply on LinkedIn,Draft LinkedIn project post,
2025-06-05,Thursday,Arithmetic Practice + RC drill,Para Completion & Inference,Caselets,Time & Work,Design visuals with slicers,Google Data Analytics Module 2,Watch Power BI tutorial,Connect with a mentor,Engage with industry content,
2025-06-06,Friday,Geometry + DI sets,Sentence Completion,Data Sufficiency,Mixtures,Start summarizing project insights,Scrum Basics,Create SQL project mini-report,Update portfolio,Connect with 1 BA or PM,
2025-06-07,Saturday,Mock Test (Sectional) + Revision,"Fact, Inference, Judgment",Seating Arrangement,Quadratic Equations,Enhance UI of Power BI dashboard,Resume Optimization,Review previous course progress,Apply on LinkedIn,Post project update on LinkedIn,
2025-06-08,Sunday,Weekly Revision + 1hr Verbal RC,Grammar Rules,Blood Relations,Linear Equations,Check data consistency in project,LinkedIn Profile Update,Reflect & plan next week?s study,Connect with a mentor,Rest or casual learning video,
2025-06-09,Monday,Quant Practice + 1hr Reading Comprehension,Idioms,Venn Diagrams,Permutation & Combination,Update dashboard visuals,Build Personal Website,Watch Data Analytics course module,Update portfolio,Engage with 2 LinkedIn posts,
2025-06-10,Tuesday,DI/LR Practice + Verbal mock test,Analogies,Binary Logic,Sequence & Series,Build new KPI in dashboard,Write LinkedIn Post,Practice SQL queries,Apply on LinkedIn,Send 1 connection request + comment,
2025-06-11,Wednesday,Mock Test (Full) + Analysis,Sentence Correction,Puzzle Sets,Triangles,Update documentation of dashboard,Connect with Alumni,Python for Data Science - Lists & Loops,Connect with a mentor,Draft LinkedIn project post,
2025-06-12,Thursday,Arithmetic Practice + RC drill,Vocabulary ? Word Usage,Syllogisms,Circles,Design visuals with slicers,Mock Interview Prep,Watch Power BI tutorial,Update portfolio,Engage with industry content,
2025-06-13,Friday,Geometry + DI sets,One-Word Substitution,Family Tree,Mensuration ? Area & Volume,Start summarizing project insights,SQL Basics,Create SQL project mini-report,Apply on LinkedIn,Connect with 1 BA or PM,
2025-06-14,Saturday,Mock Test (Sectional) + Revision,Reading Comprehension ? Abstract,Matching Puzzles,Number System,Enhance UI of Power BI dashboard,Python Basics,Review previous course progress,Connect with a mentor,Post project update on LinkedIn,
2025-06-15,Sunday,Weekly Revision + 1hr Verbal RC,Reading Comprehension ? Science,Clocks & Calendars,HCF & LCM,Check data consistency in project,Power BI ? Dashboards,Reflect & plan next week?s study,Update portfolio,Rest or casual learning video,
